,date,home_team,away_team,home_score,away_score,tournament,city,country,neutral,home_advantage,match_outcome,home_team_recent_form,away_team_recent_form
10680,1976-10-16,Portugal,Poland,0,2,FIFA World Cup qualification,Porto,Portugal,False,1,2,0.4,0.0
10694,1976-10-27,Denmark,Cyprus,5,0,FIFA World Cup qualification,Copenhagen,Denmark,False,1,1,0.4,0.0
10701,1976-10-31,Poland,Cyprus,5,0,FIFA World Cup qualification,Warsaw,Poland,False,1,1,0.2,0.0
10703,1976-10-31,Turkey,Malta,4,0,FIFA World Cup qualification,İzmir,Turkey,False,1,1,0.2,0.2
10715,1976-11-10,Belgium,Northern Ireland,2,0,FIFA World Cup qualification,Liège,Belgium,False,1,1,0.4,0.0
10716,1976-11-10,Greece,Austria,0,3,Friendly,Kavála,Greece,False,1,2,0.2,0.4
10730,1976-11-17,France,Republic of Ireland,2,0,FIFA World Cup qualification,Paris,France,False,1,1,0.2,0.6
10733,1976-11-17,Italy,England,2,0,FIFA World Cup qualification,Rome,Italy,False,1,1,0.8,0.6
10734,1976-11-17,Portugal,Denmark,1,0,FIFA World Cup qualification,Lisbon,Portugal,False,1,1,0.4,0.4
10735,1976-11-17,Scotland,Wales,1,0,FIFA World Cup qualification,Glasgow,Scotland,False,1,1,1.0,0.2
10742,1976-11-28,Romania,Bulgaria,3,2,Balkan Cup,Bucharest,Romania,False,1,1,0.0,0.2
10748,1976-12-05,Cyprus,Portugal,1,2,FIFA World Cup qualification,Limassol,Cyprus,False,1,2,0.0,0.4
10749,1976-12-05,Malta,Austria,0,1,FIFA World Cup qualification,Gżira,Malta,False,1,2,0.0,0.4
10755,1976-12-15,Israel,Austria,1,3,Friendly,Ramat Gan,Israel,False,1,2,0.4,0.6
10764,1976-12-22,Portugal,Italy,2,1,Friendly,Lisbon,Portugal,False,1,1,0.6,0.8
10786,1977-01-26,Italy,Belgium,2,1,Friendly,Rome,Italy,False,1,1,0.8,0.4
10785,1977-01-26,Israel,Greece,1,1,Friendly,Ramat Gan,Israel,False,1,0,0.2,0.2
10790,1977-01-30,Cyprus,Bulgaria,1,2,Friendly,Nicosia,Cyprus,False,1,2,0.0,0.2
10795,1977-02-02,France,Romania,2,0,Friendly,Bordeaux,France,False,1,1,0.4,0.2
10804,1977-02-09,England,Netherlands,0,2,Friendly,London,England,False,1,2,0.6,0.6
10805,1977-02-09,Republic of Ireland,Spain,0,1,Friendly,Dublin,Republic of Ireland,False,1,2,0.4,0.2
10817,1977-02-16,Turkey,Bulgaria,2,0,Balkan Cup,Istanbul,Turkey,False,1,1,0.2,0.2
10827,1977-02-23,France,Germany,1,0,Friendly,Paris,France,False,1,1,0.4,0.8
10858,1977-03-09,Austria,Greece,2,0,Friendly,Vienna,Austria,False,1,1,0.8,0.2
10893,1977-03-23,Romania,Turkey,4,0,Balkan Cup,Bucharest,Romania,False,1,1,0.2,0.4
10898,1977-03-26,Belgium,Netherlands,0,2,FIFA World Cup qualification,Antwerp,Belgium,False,1,2,0.4,0.8
10905,1977-03-27,Spain,Hungary,1,1,Friendly,Alicante,Spain,False,1,0,0.4,0.4
10910,1977-03-30,Portugal,Switzerland,1,0,Friendly,Funchal,Portugal,False,1,1,0.6,0.0
10908,1977-03-30,Republic of Ireland,France,1,0,FIFA World Cup qualification,Dublin,Republic of Ireland,False,1,1,0.2,0.6
10907,1977-03-30,England,Luxembourg,5,0,FIFA World Cup qualification,London,England,False,1,1,0.4,0.0
10915,1977-04-06,Turkey,Finland,1,2,Friendly,Ankara,Turkey,False,1,2,0.4,0.4
10918,1977-04-13,Bulgaria,Denmark,3,1,Friendly,Sofia,Bulgaria,False,1,1,0.2,0.4
10919,1977-04-13,Hungary,Poland,2,1,Friendly,Budapest,Hungary,False,1,1,0.4,0.4
10921,1977-04-16,Romania,Spain,1,0,FIFA World Cup qualification,Bucharest,Romania,False,1,1,0.4,0.2
10922,1977-04-17,Austria,Turkey,1,0,FIFA World Cup qualification,Vienna,Austria,False,1,1,0.8,0.4
10925,1977-04-23,Switzerland,France,0,4,Friendly,Geneva,Switzerland,False,1,2,0.0,0.6
10926,1977-04-24,Republic of Ireland,Poland,0,0,Friendly,Dublin,Republic of Ireland,False,1,0,0.2,0.4
